player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,dispossessed,high_claim,corners,saves_inside_box,offsides,successful_dribbles_percent,tackles_won_percent,xgot,tackles,start_min,finish_min,team_goals_conceded,penalties_scored,penalties_missed,top_speed,distance_covered,walking_distance,running_distance,sprinting_distance,number_of_sprints,defensive_contributions,gw_folder
421,25-26-prem-manchester-city-vs-tottenham-hotspur,16,0,0,1,0.05,0.02,1,1,0,1,21,15,0.0,1.0,2,0,0.0,3,0.0,0,0,4,0,0,0,0,4,1,3,0.0,1,0.0,1,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.02,1,75,91,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,GW2
413,25-26-prem-manchester-city-vs-tottenham-hotspur,54,0,0,3,0.65,0.01,2,1,1,6,29,11,0.0,0.0,0,0,0.0,0,0.0,1,0,1,1,1,1,1,4,2,3,0.0,1,0.0,1,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.59,1,0,54,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,GW2
417,25-26-prem-manchester-city-vs-tottenham-hotspur,54,0,0,0,0.0,0.44,0,1,0,4,57,34,0.0,1.0,7,1,0.0,1,0.0,1,1,3,0,0,0,0,5,6,5,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,4,0,54,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,GW2
408,25-26-prem-manchester-city-vs-tottenham-hotspur,90,0,0,0,0.0,0.01,0,0,0,0,75,59,0.0,0.0,3,0,0.0,1,0.0,0,1,2,0,4,3,0,4,3,2,0.0,2,0.0,0,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,2,0,91,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,GW2
182,25-26-prem-manchester-city-vs-tottenham-hotspur,90,0,0,0,0.0,0.0,0,0,0,0,51,26,0.0,0.0,4,0,0.0,4,0.0,1,0,10,0,3,0,0,3,0,3,0.0,0,0.0,1,0,3,2,2.08,0.08,3,26,4,,0,0,0,0,0.0,0.0,0.0,2,0,91,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,GW2
402,25-26-prem-manchester-city-vs-tottenham-hotspur,23,0,0,0,0.0,0.0,0,0,0,0,11,7,0.0,0.0,1,0,0.0,0,0.0,0,0,2,0,0,0,1,0,2,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,0,23,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,GW2
596,25-26-prem-manchester-city-vs-tottenham-hotspur,13,0,0,1,0.12,0.0,1,0,0,2,5,1,0.0,0.0,0,0,0.0,0,0.0,0,1,0,0,0,0,0,0,2,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.43,0,78,91,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,GW2
418,25-26-prem-manchester-city-vs-tottenham-hotspur,37,0,0,0,0.0,0.25,0,1,0,4,25,11,0.0,1.0,0,0,0.0,0,0.0,0,0,1,0,0,0,0,1,5,1,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,54,91,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,GW2
410,25-26-prem-manchester-city-vs-tottenham-hotspur,90,0,0,1,0.02,0.08,0,0,0,2,77,43,0.0,1.0,8,0,0.0,2,0.0,1,1,3,1,2,2,1,2,6,2,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,2,0,91,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,GW2
416,25-26-prem-manchester-city-vs-tottenham-hotspur,37,0,0,0,0.0,0.02,0,0,0,2,29,17,0.0,0.0,1,0,0.0,0,0.0,0,1,1,0,1,1,4,0,7,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,54,91,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,GW2
